Dict
Running CVC: false
DFSPriority
Eager
Size bound: 20
Depth bound: 4
=====

[16:08:20.788608]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V_9_ -> V_10_, tr: L
[16:08:20.789157]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> V_10_, tr: L
[16:08:20.789649]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> V0, tr: L
[16:08:20.790365]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> V1, tr: L
[16:08:20.791137]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> V2, tr: L
[16:08:20.791945]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> V_10_, tr: L
[16:08:20.792497]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> V0, tr: L
[16:08:20.793195]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> V1, tr: L
[16:08:20.793877]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> V2, tr: L
[16:08:20.794592]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V2 -> V_10_, tr: L
[16:08:20.795026]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V2 -> V0, tr: L
[16:08:20.795679]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V2 -> V1, tr: L
[16:08:20.796357]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V2 -> V2, tr: L
[16:08:20.796972]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V2 -> V3, tr: L
[16:08:20.797400]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V_11_ -> V_12_ -> V_13_ -> L, tr: L
[16:08:20.797824]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V_12_ -> V_13_ -> L, tr: L
[16:08:20.798270]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V_13_ -> L, tr: L
[16:08:20.798744]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V0 -> L, tr: L
[16:08:20.799351]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V1 -> L, tr: L
[16:08:20.799991]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V_13_ -> L, tr: L
[16:08:20.800482]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> L, tr: L
[16:08:20.801135]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> L, tr: L
[16:08:20.801765]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V2 -> L, tr: L
[16:08:20.802151]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V_14_ -> V_15_ -> L -> V_16_, tr: L
[16:08:20.802549]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V_15_ -> L -> V_16_, tr: L
