dictchain
Running CVC: true
Size bound: 20
Depth bound: 4
Names per round: 5
=====

[23:34:34.684]	BEG Initial search without labels or nullaries
[23:34:34.710]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=V0 -> V1 -> V1}
[23:34:34.711]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=V0 -> V1 -> V2}
[23:34:34.711]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=V0 -> V1 -> .L}
[23:34:34.711]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=V0 -> .L -> _}
[23:34:34.711]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=V0 -> .L -> V0}
[23:34:34.711]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=V0 -> .L -> V1}
[23:34:34.712]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=V0 -> .L -> .L}
[23:34:34.712]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> _}
[23:34:34.712]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> _ -> _}
[23:34:34.712]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> V0 -> _}
[23:34:34.713]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> V0 -> V0}
[23:34:34.713]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> V0 -> V1}
[23:34:34.713]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> V0 -> .L}
[23:34:34.713]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> .L -> _}
[23:34:34.714]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> .L -> V0}
[23:34:34.714]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> V1, min=.L -> .L -> .L}
[23:34:34.714]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=_ -> _}
[23:34:34.714]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> _}
[23:34:34.714]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> _ -> _}
[23:34:34.715]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V0 -> _}
[23:34:34.715]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V0 -> V0}
[23:34:34.715]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V0 -> V1}
[23:34:34.715]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V0 -> .L}
[23:34:34.716]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V1 -> _}
[23:34:34.716]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V1 -> V0}
[23:34:34.716]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V1 -> V1}
[23:34:34.716]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V1 -> V2}
[23:34:34.716]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> V1 -> .L}
[23:34:34.717]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> .L -> _}
[23:34:34.717]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> .L -> V0}
[23:34:34.717]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> .L -> V1}
[23:34:34.717]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=V0 -> .L -> .L}
[23:34:34.717]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> _}
[23:34:34.718]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> _ -> _}
[23:34:34.718]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> V0 -> _}
[23:34:34.718]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> V0 -> V0}
[23:34:34.718]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> V0 -> V1}
[23:34:34.718]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> V0 -> .L}
[23:34:34.719]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> .L -> _}
[23:34:34.719]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> .L -> V0}
[23:34:34.719]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V0 -> .L, min=.L -> .L -> .L}
[23:34:34.719]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> _, min=_ -> _}
[23:34:34.719]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=_ -> _}
[23:34:34.720]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> _}
[23:34:34.720]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> _ -> _}
[23:34:34.720]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V0 -> _}
[23:34:34.720]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V0 -> V0}
[23:34:34.721]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V0 -> V1}
[23:34:34.721]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V0 -> .L}
[23:34:34.721]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V1 -> _}
[23:34:34.721]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V1 -> V0}
[23:34:34.721]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V1 -> V1}
[23:34:34.721]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V1 -> V2}
[23:34:34.722]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> V1 -> .L}
[23:34:34.722]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> .L -> _}
[23:34:34.722]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> .L -> V0}
