dictchain
Running CVC: true
Size bound: 20
Depth bound: 4
Names per round: 5
=====

[23:34:34.684]	BEG Initial search without labels or nullaries
[23:37:46.415]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> V1 -> _}
[23:37:46.415]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> V1 -> V0}
[23:37:46.415]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> V1 -> V1}
[23:37:46.415]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> V1 -> V2}
[23:37:46.415]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> V1 -> .L}
[23:37:46.416]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> .L -> _}
[23:37:46.416]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> .L -> V0}
[23:37:46.416]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> .L -> V1}
[23:37:46.416]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==V0 -> .L -> .L}
[23:37:46.417]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> _}
[23:37:46.417]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> _ -> _}
[23:37:46.417]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> L0[] -> _}
[23:37:46.417]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> L0[] -> V0}
[23:37:46.417]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> L0[] -> .L}
[23:37:46.418]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> V0 -> _}
[23:37:46.418]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> V0 -> V0}
[23:37:46.418]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> V0 -> V1}
[23:37:46.418]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> V0 -> .L}
[23:37:46.419]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> .L -> _}
[23:37:46.419]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> .L -> V0}
[23:37:46.419]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V0, [0]=.L, ==.L -> .L -> .L}
[23:37:46.419]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==_ -> _}
[23:37:46.420]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> _}
[23:37:46.420]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> _ -> _}
[23:37:46.420]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> L0[] -> _}
[23:37:46.420]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> L0[] -> V0}
[23:37:46.421]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> L0[] -> .L}
[23:37:46.421]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> V0 -> _}
[23:37:46.421]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> V0 -> V0}
[23:37:46.422]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> V0 -> V1}
[23:37:46.422]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> V0 -> .L}
[23:37:46.422]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> .L -> _}
[23:37:46.422]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> .L -> V0}
[23:37:46.423]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==L0[] -> .L -> .L}
[23:37:46.423]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> _}
[23:37:46.423]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> _ -> _}
[23:37:46.424]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> L0[] -> _}
[23:37:46.424]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> L0[] -> V0}
[23:37:46.425]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> L0[] -> V1}
[23:37:46.425]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> L0[] -> .L}
[23:37:46.425]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V0 -> _}
[23:37:46.426]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V0 -> V0}
[23:37:46.426]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V0 -> V1}
[23:37:46.426]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V0 -> .L}
[23:37:46.427]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V1 -> _}
[23:37:46.427]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V1 -> V0}
[23:37:46.427]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V1 -> V1}
[23:37:46.428]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V1 -> V2}
[23:37:46.428]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> V1 -> .L}
[23:37:46.428]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> .L -> _}
[23:37:46.429]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> .L -> V0}
[23:37:46.429]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> .L -> V1}
[23:37:46.429]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==V0 -> .L -> .L}
[23:37:46.430]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> _}
[23:37:46.430]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> _ -> _}
[23:37:46.431]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> L0[] -> _}
[23:37:46.431]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> L0[] -> V0}
[23:37:46.431]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> L0[] -> .L}
[23:37:46.431]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> V0 -> _}
[23:37:46.431]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> V0 -> V0}
[23:37:46.432]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> V0 -> V1}
[23:37:46.432]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> V0 -> .L}
[23:37:46.432]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> .L -> _}
[23:37:46.433]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> .L -> V0}
[23:37:46.433]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> V1, [0]=.L, ==.L -> .L -> .L}
[23:37:46.433]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==_ -> _}
[23:37:46.433]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> _}
[23:37:46.434]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> _ -> _}
[23:37:46.434]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> L0[] -> _}
[23:37:46.434]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> L0[] -> V0}
[23:37:46.434]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> L0[] -> .L}
[23:37:46.435]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> V0 -> _}
[23:37:46.435]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> V0 -> V0}
[23:37:46.435]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> V0 -> V1}
[23:37:46.436]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> V0 -> .L}
[23:37:46.436]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> .L -> _}
[23:37:46.436]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> .L -> V0}
[23:37:46.436]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==L0[] -> .L -> .L}
[23:37:46.437]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> _}
[23:37:46.437]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> _ -> _}
[23:37:46.437]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> L0[] -> _}
[23:37:46.437]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> L0[] -> V0}
[23:37:46.438]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> L0[] -> V1}
[23:37:46.438]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> L0[] -> .L}
[23:37:46.438]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V0 -> _}
[23:37:46.438]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V0 -> V0}
[23:37:46.439]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V0 -> V1}
[23:37:46.439]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V0 -> .L}
[23:37:46.439]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V1 -> _}
[23:37:46.439]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V1 -> V0}
[23:37:46.439]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V1 -> V1}
[23:37:46.440]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V1 -> V2}
[23:37:46.440]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> V1 -> .L}
[23:37:46.440]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> .L -> _}
[23:37:46.440]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> .L -> V0}
[23:37:46.440]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> .L -> V1}
[23:37:46.441]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==V0 -> .L -> .L}
[23:37:46.441]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> _}
[23:37:46.441]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> _ -> _}
[23:37:46.441]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> L0[] -> _}
[23:37:46.441]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> L0[] -> V0}
[23:37:46.442]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> L0[] -> .L}
[23:37:46.442]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> V0 -> _}
[23:37:46.442]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> V0 -> V0}
[23:37:46.442]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> V0 -> V1}
[23:37:46.442]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> V0 -> .L}
[23:37:46.443]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> .L -> _}
[23:37:46.443]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> .L -> V0}
[23:37:46.443]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> V0, "a"=.L, succ=L0[] -> .L, -=L0[] -> V0 -> .L, [0]=.L, ==.L -> .L -> .L}
